Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-omar.minimal.ig.json	2150	-	0	0	0	0	1	0	8	82	0	0	0	0	0	0	0	0	0	0	170	151	0	0	0	2	0	2
fsh-generated/resources/Observation-HeartRateExample.json	625	13	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	97	72	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-device-observation.json	1397	11	0	87	1	0	0	0	1	53	0	0	1	0	0	0	0	1	0	0	1470	3817	0	0	0	10	0	2
\fsh-generated\includes\fsh-link-references.md	118	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1172	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\changes.md	296	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\index.md	498	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\scope.md	274	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	2069	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
